Episode,Consistency Percentage,Synchronization Lag,Improvement Factor
113,98.47,0.323,1.408
114,90.9,0.1327,1.1913
115,85.39,0.1917,1.5171
116,94.05,0.7556,1.9081
117,93.18,0.2797,1.8044
118,99.78,0.4341,1.0658
119,85.3,0.5515,1.6926
120,93.44,0.7529,1.5719
121,81.04,0.2019,1.9075
122,82.27,0.4657,1.1225
123,80.08,0.5366,1.534
124,99.99,0.5867,1.8795
125,96.05,0.8365,1.41
126,95.73,0.2545,1.482
127,90.19,0.827,1.0705
128,86.0,0.7236,1.2781
129,83.03,0.6003,1.3245
130,85.69,0.7296,1.9451
131,87.52,0.4708,1.2827
132,95.13,0.2246,1.4609
133,90.79,0.6992,1.6713
134,81.55,0.5722,1.1622
135,80.36,0.6754,1.4864
136,82.05,0.4042,1.7385
137,88.21,0.9162,1.8669
138,98.66,0.6286,1.6263
139,92.75,0.1769,1.6691
140,96.04,0.5048,1.1263
141,89.33,0.7807,1.9458
142,87.23,0.8147,1.1326
143,82.17,0.5451,1.7747
144,97.52,0.9053,1.2648
145,95.66,0.3409,1.9336
146,83.36,0.4695,1.72
147,90.25,0.9087,1.7538
148,89.75,0.9066,1.2191
149,92.5,0.7171,1.443
150,98.92,0.8731,1.6178
151,91.6,0.1799,1.77
152,90.8,0.8785,1.104
153,81.01,0.3886,1.9624
154,81.26,0.2605,1.8902
155,83.75,0.3154,1.2703
156,80.65,0.4762,1.8228
157,94.87,0.3261,1.5183
158,94.47,0.3885,1.4618
159,82.72,0.2215,1.3144
160,96.72,0.3666,1.581
161,83.1,0.6151,1.7299
162,86.02,0.4977,1.4109
163,84.98,0.412,1.6292
164,87.45,0.7718,1.6993
165,85.09,0.9042,1.7111
166,89.78,0.7811,1.052
167,88.15,0.3988,1.8597
168,99.73,0.77,1.4583
169,81.12,0.2368,1.2624
170,82.84,0.2173,1.2418
171,81.06,0.4111,1.483
172,92.52,0.8269,1.8868
173,81.09,0.3217,1.3783
174,96.73,0.1569,1.7497
175,90.24,0.2185,1.0968
176,90.54,0.8729,1.4761
177,91.23,0.6704,1.9917
178,83.42,0.3279,1.7704
179,83.95,0.5998,1.2105
180,86.38,0.5748,1.5014
181,91.87,0.6899,1.2336
182,84.2,0.3099,1.4096
183,82.33,0.878,1.7801
184,99.4,0.3784,1.7712
185,80.44,0.7247,1.2281
186,96.05,0.1145,1.9222
187,95.76,0.4354,1.5926
188,85.94,0.4165,1.3799
189,82.71,0.5891,1.5019
190,82.91,0.1655,1.6051
191,93.95,0.8111,1.5599
192,92.86,0.296,1.4864
193,95.65,0.7093,1.5049
194,98.75,0.8229,1.1764
195,93.84,0.6057,1.8127
196,83.12,0.7668,1.5418
197,84.87,0.6957,1.1311
198,96.84,0.42,1.7662
199,84.19,0.828,1.9324
200,81.45,0.3652,1.9473
201,94.07,0.6141,1.369
202,88.05,0.7709,1.1355
203,98.4,0.4411,1.5184
204,93.01,0.3725,1.1126
205,81.81,0.5134,1.934
206,98.96,0.8362,1.1836
207,85.17,0.9369,1.2528
208,86.74,0.5906,1.4066
209,88.05,0.6953,1.3832
210,81.02,0.9129,1.7947
211,89.93,0.1887,1.4563
212,82.47,0.3089,1.1708
213,88.02,0.738,1.2672
214,87.01,0.8414,1.5091
215,95.46,0.8713,1.1475
216,96.06,0.4736,1.6117
217,83.07,0.1804,1.5657
218,87.33,0.494,1.7147
219,87.47,0.3077,1.9377
220,83.03,0.3621,1.9123
221,95.97,0.795,1.9461
222,94.14,0.168,1.2447
223,83.81,0.8448,1.1316
224,87.33,0.4849,1.3023
225,82.12,0.6365,1.8951
226,92.56,0.1807,1.9721
227,82.43,0.4036,1.8593
228,99.72,0.1807,1.11
229,95.61,0.9654,1.9474
230,87.8,0.8265,1.4234
231,91.57,0.5137,1.0093
232,98.23,0.3012,1.4424
233,91.08,0.9401,1.0461
234,83.49,0.4101,1.5439
235,87.57,0.2449,1.3386
236,96.86,0.6068,1.4734
237,92.88,0.9494,1.6132
238,93.01,0.1034,1.8688
239,97.34,0.3143,1.6619
240,97.88,0.9446,1.434
241,98.4,0.254,1.8194
242,81.9,0.2019,1.9056
243,90.88,0.6132,1.1198
244,94.81,0.8757,1.5319
245,95.14,0.5294,1.2845
246,92.13,0.9951,1.0471
247,83.34,0.7113,1.6685
248,95.95,0.1667,1.8628
249,94.4,0.9935,1.1629
250,81.72,0.4671,1.8124
251,89.28,0.3587,1.8534
252,83.48,0.6021,1.9143
253,86.75,0.3739,1.2653
254,80.36,0.1778,1.904
255,88.01,0.1013,1.3207
256,91.0,0.5046,1.5523
257,92.39,0.8532,1.0505
258,93.27,0.6151,1.0439
259,96.73,0.9993,1.7204
260,84.31,0.3582,1.4445
261,82.41,0.3524,1.2563
262,97.03,0.2438,1.1904
263,83.13,0.2477,1.67
264,99.5,0.3567,1.0004
265,96.85,0.8136,1.8059
266,90.02,0.9152,1.0792
267,99.63,0.9776,1.1915
268,81.95,0.3091,1.3862
269,86.06,0.8932,1.4849
270,92.76,0.3954,1.355
271,87.0,0.2016,1.3207
272,98.57,0.883,1.9639
273,81.31,0.6725,1.6416
274,90.99,0.2483,1.0234
275,91.82,0.4868,1.4302
276,93.05,0.3585,1.875
277,85.11,0.7631,1.3015
278,87.29,0.5081,1.0946
279,96.87,0.9904,1.7584
280,83.9,0.1493,1.606
281,96.54,0.4195,1.5703
282,91.25,0.5337,1.0536
283,95.24,0.5528,1.1405
284,94.27,0.3843,1.6225
285,84.15,0.7563,1.2078
286,91.38,0.8873,1.5041
287,97.35,0.9448,1.5449
288,88.64,0.8246,1.2835
289,99.33,0.8655,1.9484
290,89.04,0.5955,1.8425
291,82.86,0.8433,1.7224
292,87.79,0.3732,1.078
293,99.03,0.4586,1.1061
294,86.39,0.3852,1.4928
295,97.36,0.5206,1.1607
296,97.63,0.357,1.9783
297,87.0,0.9655,1.1585
298,81.67,0.3816,1.4875
299,94.49,0.1882,1.3641
300,86.23,0.5741,1.6394
301,95.66,0.1514,1.129
302,88.85,0.1995,1.4303
303,89.71,0.2975,1.2747
304,95.56,0.5179,1.8878
305,87.65,0.4899,1.0406
306,88.86,0.8197,1.9137
307,87.52,0.7655,1.833
308,87.35,0.4837,1.2976
309,90.52,0.4003,1.7893
310,96.18,0.3848,1.0312
311,87.24,0.7966,1.9669
312,90.49,0.1469,1.5266
313,93.41,0.1115,1.3033
314,85.39,0.816,1.3626
315,85.55,0.5294,1.0664
316,98.67,0.2178,1.9893
317,94.47,0.312,1.0393
318,91.54,0.9393,1.6549
319,92.95,0.8736,1.4427
320,80.59,0.7388,1.9489
321,92.36,0.534,1.246
322,90.19,0.5683,1.5321
323,90.91,0.9777,1.4824
324,87.19,0.9692,1.7029
325,81.63,0.2937,1.068
326,83.87,0.83,1.1938
327,99.01,0.2775,1.2146
328,88.17,0.2922,1.7382
329,89.33,0.7085,1.1891
330,81.05,0.4645,1.5735
331,80.75,0.9384,1.2152
332,94.34,0.1801,1.8616
333,90.76,0.5604,1.9422
334,90.17,0.9267,1.5185
335,84.86,0.9137,1.3523
336,94.9,0.2409,1.2341
337,83.36,0.43,1.0498
338,83.8,0.6572,1.2685
339,89.21,0.2435,1.6542
340,85.73,0.9712,1.5336
341,84.95,0.9233,1.944
342,92.9,0.2503,1.3963
343,93.02,0.209,1.6939
344,96.49,0.1769,1.4893
345,88.35,0.9185,1.5126
346,81.46,0.2743,1.2678
347,85.47,0.4747,1.455
348,99.6,0.504,1.4708
349,91.93,0.6391,1.7066
350,94.19,0.1646,1.9406
351,80.15,0.3041,1.3293
352,90.36,0.9383,1.0422
353,80.75,0.9176,1.4963
354,91.38,0.8032,1.5445
355,98.42,0.1175,1.1684
356,99.37,0.3943,1.7605
357,90.81,0.6652,1.9849
358,89.16,0.3477,1.9458
359,98.9,0.9186,1.1971
360,93.47,0.6705,1.8754
361,81.3,0.1647,1.7045
362,89.31,0.9181,1.4538
363,84.8,0.962,1.5406
364,89.4,0.1699,1.8496
365,89.11,0.5791,1.4801
366,91.64,0.373,1.3732
367,87.14,0.4536,1.4932
368,83.29,0.2617,1.5791
369,90.07,0.6203,1.1891
370,96.6,0.9622,1.9009
371,93.28,0.5528,1.6742
372,86.77,0.1746,1.6333
373,98.71,0.658,1.0995
374,98.24,0.4062,1.6042
375,84.19,0.8703,1.121
376,80.79,0.4912,1.0787
377,94.83,0.2736,1.5273
378,96.55,0.272,1.4028
379,99.36,0.7919,1.5888
380,97.8,0.339,1.0892
381,92.01,0.7905,1.431
382,90.6,0.2853,1.1748
383,80.56,0.3895,1.9871
384,84.93,0.5189,1.5612
385,89.19,0.9489,1.6874
386,92.57,0.9386,1.3254
387,91.15,0.2862,1.0947
388,94.85,0.4224,1.9759
389,85.6,0.2345,1.2863
390,91.3,0.559,1.4238
391,81.76,0.5145,1.6499
392,88.27,0.9107,1.0247
393,95.0,0.937,1.8103
394,93.87,0.4452,1.5366
395,99.81,0.5426,1.2782
396,85.56,0.9066,1.0616
397,89.96,0.826,1.1625
398,86.59,0.1033,1.895
399,88.81,0.3881,1.686
400,97.14,0.4796,1.2499
401,93.68,0.3067,1.0656
402,97.65,0.2796,1.6906
403,84.07,0.134,1.5724
404,97.47,0.679,1.4045
405,81.2,0.3363,1.3636
406,97.77,0.1471,1.2168
407,86.58,0.3079,1.6696
408,86.29,0.8217,1.9707
409,90.24,0.8663,1.1757
410,98.81,0.5348,1.5971
411,80.96,0.4745,1.4242
412,87.04,0.9801,1.4467
413,97.13,0.2805,1.2541
414,87.92,0.2938,1.8251
415,83.98,0.3627,1.4853
416,88.5,0.2555,1.5434
417,87.71,0.4414,1.3048
418,98.31,0.9198,1.1818
419,95.24,0.6538,1.0859
420,90.1,0.4708,1.7141
421,99.77,0.941,1.1962
422,89.31,0.1436,1.6901
423,81.16,0.2892,1.3904
424,85.25,0.6093,1.4158
425,88.72,0.654,1.4692
426,83.14,0.1356,1.3677
427,98.95,0.4627,1.1006
428,95.34,0.6842,1.3096
429,85.37,0.7283,1.6637
430,91.82,0.6743,1.6658
431,94.43,0.3885,1.2862
432,98.83,0.1842,1.4601
433,97.63,0.4844,1.1934
434,90.3,0.2159,1.2104
435,95.49,0.9529,1.023
436,91.24,0.5277,1.8967
437,91.05,0.3855,1.2107
438,82.29,0.7897,1.2275
439,82.52,0.5482,1.2796
440,90.59,0.379,1.1274
441,85.38,0.8308,1.6393
442,80.42,0.8804,1.0751
443,94.46,0.7057,1.1342
444,80.65,0.1423,1.6448
445,91.91,0.6097,1.3397
446,90.78,0.787,1.7079
447,99.38,0.2229,1.5574
448,89.68,0.3058,1.256
449,81.27,0.8942,1.6508
450,91.03,0.1181,1.1163
451,96.82,0.7775,1.5364
452,99.94,0.5264,1.4371
453,88.61,0.5021,1.2679
454,86.41,0.1064,1.604
455,98.13,0.8375,1.8713
456,83.82,0.4238,1.9989
457,92.31,0.5867,1.6078
458,88.11,0.7096,1.4047
459,80.82,0.7324,1.2252
460,86.95,0.9604,1.2571
461,85.3,0.5782,1.4795
462,93.72,0.4597,1.3673
463,98.98,0.9583,1.9138
464,85.36,0.6779,1.3683
465,96.23,0.3683,1.3734
466,81.11,0.2138,1.3835
467,90.76,0.8583,1.8366
468,81.41,0.426,1.6508
469,98.68,0.6944,1.6142
470,95.33,0.5237,1.3341
471,93.16,0.279,1.8179
472,96.48,0.6415,1.0384
473,92.95,0.1546,1.8708
474,99.38,0.472,1.5127
475,94.28,0.592,1.3983
476,98.49,0.4924,1.4972
477,90.34,0.7738,1.6674
478,82.34,0.8451,1.0128
479,90.56,0.7941,1.8716
480,82.54,0.1349,1.4467
481,91.85,0.2747,1.343
482,89.65,0.5829,1.1382
483,92.45,0.9413,1.4395
484,80.2,0.8515,1.4963
485,83.9,0.8583,1.4036
486,89.83,0.3729,1.6787
487,99.01,0.4865,1.4209
488,87.67,0.5236,1.9614
489,88.49,0.2416,1.5993
490,94.29,0.128,1.8075
491,92.08,0.9522,1.1094
492,85.98,0.3166,1.3973
493,88.22,0.316,1.3368
494,84.35,0.175,1.5695
495,99.32,0.9357,1.8611
496,82.61,0.6218,1.0783
497,87.44,0.7003,1.0726
498,80.52,0.9204,1.8503
499,84.44,0.4111,1.2129
500,95.61,0.6594,1.6688
