Episode,Loss Value,Timestamp
138,0.5109,2024-01-06 17:00:00
139,0.4091,2024-01-06 18:00:00
140,0.5915,2024-01-06 19:00:00
141,0.5887,2024-01-06 20:00:00
142,0.3755,2024-01-06 21:00:00
143,0.4492,2024-01-06 22:00:00
144,0.3903,2024-01-06 23:00:00
145,0.3855,2024-01-07 00:00:00
146,0.3111,2024-01-07 01:00:00
147,0.4829,2024-01-07 02:00:00
148,0.4508,2024-01-07 03:00:00
149,0.3154,2024-01-07 04:00:00
150,0.3836,2024-01-07 05:00:00
151,0.5725,2024-01-07 06:00:00
152,0.3719,2024-01-07 07:00:00
153,0.3435,2024-01-07 08:00:00
154,0.4468,2024-01-07 09:00:00
155,0.5957,2024-01-07 10:00:00
156,0.3726,2024-01-07 11:00:00
157,0.5016,2024-01-07 12:00:00
158,0.5285,2024-01-07 13:00:00
159,0.3713,2024-01-07 14:00:00
160,0.5185,2024-01-07 15:00:00
161,0.4103,2024-01-07 16:00:00
162,0.4897,2024-01-07 17:00:00
163,0.4901,2024-01-07 18:00:00
164,0.4607,2024-01-07 19:00:00
165,0.3271,2024-01-07 20:00:00
166,0.5506,2024-01-07 21:00:00
167,0.3962,2024-01-07 22:00:00
168,0.356,2024-01-07 23:00:00
169,0.3122,2024-01-08 00:00:00
170,0.4773,2024-01-08 01:00:00
171,0.5033,2024-01-08 02:00:00
172,0.305,2024-01-08 03:00:00
173,0.4536,2024-01-08 04:00:00
174,0.3679,2024-01-08 05:00:00
175,0.4936,2024-01-08 06:00:00
176,0.3523,2024-01-08 07:00:00
177,0.5073,2024-01-08 08:00:00
178,0.416,2024-01-08 09:00:00
179,0.581,2024-01-08 10:00:00
180,0.3413,2024-01-08 11:00:00
181,0.4023,2024-01-08 12:00:00
182,0.334,2024-01-08 13:00:00
183,0.5774,2024-01-08 14:00:00
184,0.5632,2024-01-08 15:00:00
185,0.3774,2024-01-08 16:00:00
186,0.498,2024-01-08 17:00:00
187,0.5452,2024-01-08 18:00:00
188,0.4666,2024-01-08 19:00:00
189,0.4589,2024-01-08 20:00:00
190,0.3726,2024-01-08 21:00:00
191,0.3279,2024-01-08 22:00:00
192,0.5692,2024-01-08 23:00:00
193,0.5701,2024-01-09 00:00:00
194,0.4899,2024-01-09 01:00:00
195,0.4017,2024-01-09 02:00:00
196,0.4048,2024-01-09 03:00:00
197,0.5178,2024-01-09 04:00:00
198,0.5691,2024-01-09 05:00:00
199,0.5661,2024-01-09 06:00:00
200,0.534,2024-01-09 07:00:00
201,0.4926,2024-01-09 08:00:00
202,0.3252,2024-01-09 09:00:00
203,0.3485,2024-01-09 10:00:00
204,0.5696,2024-01-09 11:00:00
205,0.4819,2024-01-09 12:00:00
206,0.3028,2024-01-09 13:00:00
207,0.3304,2024-01-09 14:00:00
208,0.4991,2024-01-09 15:00:00
209,0.3015,2024-01-09 16:00:00
210,0.3482,2024-01-09 17:00:00
211,0.4646,2024-01-09 18:00:00
212,0.5076,2024-01-09 19:00:00
213,0.4956,2024-01-09 20:00:00
214,0.3673,2024-01-09 21:00:00
215,0.5137,2024-01-09 22:00:00
216,0.3712,2024-01-09 23:00:00
217,0.3976,2024-01-10 00:00:00
218,0.5239,2024-01-10 01:00:00
219,0.4949,2024-01-10 02:00:00
220,0.5548,2024-01-10 03:00:00
221,0.4973,2024-01-10 04:00:00
222,0.4705,2024-01-10 05:00:00
223,0.3281,2024-01-10 06:00:00
224,0.4103,2024-01-10 07:00:00
225,0.3796,2024-01-10 08:00:00
226,0.3732,2024-01-10 09:00:00
227,0.5919,2024-01-10 10:00:00
228,0.4179,2024-01-10 11:00:00
229,0.5676,2024-01-10 12:00:00
230,0.4893,2024-01-10 13:00:00
231,0.5384,2024-01-10 14:00:00
232,0.4508,2024-01-10 15:00:00
233,0.4731,2024-01-10 16:00:00
234,0.4478,2024-01-10 17:00:00
235,0.3586,2024-01-10 18:00:00
236,0.5167,2024-01-10 19:00:00
237,0.3842,2024-01-10 20:00:00
238,0.3073,2024-01-10 21:00:00
239,0.4936,2024-01-10 22:00:00
240,0.3531,2024-01-10 23:00:00
241,0.5821,2024-01-11 00:00:00
242,0.5862,2024-01-11 01:00:00
243,0.5745,2024-01-11 02:00:00
244,0.411,2024-01-11 03:00:00
245,0.3046,2024-01-11 04:00:00
246,0.5785,2024-01-11 05:00:00
247,0.4285,2024-01-11 06:00:00
248,0.59,2024-01-11 07:00:00
249,0.5891,2024-01-11 08:00:00
250,0.5559,2024-01-11 09:00:00
251,0.3883,2024-01-11 10:00:00
252,0.4155,2024-01-11 11:00:00
253,0.5553,2024-01-11 12:00:00
254,0.3951,2024-01-11 13:00:00
255,0.3508,2024-01-11 14:00:00
256,0.467,2024-01-11 15:00:00
257,0.5808,2024-01-11 16:00:00
258,0.5088,2024-01-11 17:00:00
259,0.471,2024-01-11 18:00:00
260,0.3292,2024-01-11 19:00:00
261,0.4845,2024-01-11 20:00:00
262,0.597,2024-01-11 21:00:00
263,0.342,2024-01-11 22:00:00
264,0.4555,2024-01-11 23:00:00
265,0.5632,2024-01-12 00:00:00
266,0.5222,2024-01-12 01:00:00
267,0.5091,2024-01-12 02:00:00
268,0.5107,2024-01-12 03:00:00
269,0.4078,2024-01-12 04:00:00
270,0.3881,2024-01-12 05:00:00
271,0.5428,2024-01-12 06:00:00
272,0.543,2024-01-12 07:00:00
273,0.5601,2024-01-12 08:00:00
274,0.574,2024-01-12 09:00:00
275,0.4534,2024-01-12 10:00:00
276,0.4505,2024-01-12 11:00:00
277,0.5395,2024-01-12 12:00:00
278,0.495,2024-01-12 13:00:00
279,0.5106,2024-01-12 14:00:00
280,0.5387,2024-01-12 15:00:00
281,0.567,2024-01-12 16:00:00
282,0.4014,2024-01-12 17:00:00
283,0.4127,2024-01-12 18:00:00
284,0.3282,2024-01-12 19:00:00
285,0.4735,2024-01-12 20:00:00
286,0.3108,2024-01-12 21:00:00
287,0.4397,2024-01-12 22:00:00
288,0.4628,2024-01-12 23:00:00
289,0.386,2024-01-13 00:00:00
290,0.4772,2024-01-13 01:00:00
291,0.3092,2024-01-13 02:00:00
292,0.3112,2024-01-13 03:00:00
293,0.5468,2024-01-13 04:00:00
294,0.4081,2024-01-13 05:00:00
295,0.3381,2024-01-13 06:00:00
296,0.4567,2024-01-13 07:00:00
297,0.531,2024-01-13 08:00:00
298,0.3647,2024-01-13 09:00:00
299,0.4869,2024-01-13 10:00:00
300,0.3256,2024-01-13 11:00:00
301,0.3155,2024-01-13 12:00:00
302,0.4594,2024-01-13 13:00:00
303,0.4622,2024-01-13 14:00:00
304,0.4912,2024-01-13 15:00:00
305,0.5178,2024-01-13 16:00:00
306,0.5928,2024-01-13 17:00:00
307,0.4549,2024-01-13 18:00:00
308,0.3969,2024-01-13 19:00:00
309,0.5386,2024-01-13 20:00:00
310,0.3812,2024-01-13 21:00:00
311,0.4317,2024-01-13 22:00:00
312,0.3235,2024-01-13 23:00:00
313,0.3076,2024-01-14 00:00:00
314,0.5888,2024-01-14 01:00:00
315,0.5508,2024-01-14 02:00:00
316,0.5088,2024-01-14 03:00:00
317,0.4227,2024-01-14 04:00:00
318,0.352,2024-01-14 05:00:00
319,0.3469,2024-01-14 06:00:00
320,0.3751,2024-01-14 07:00:00
321,0.4648,2024-01-14 08:00:00
322,0.5144,2024-01-14 09:00:00
323,0.4981,2024-01-14 10:00:00
324,0.384,2024-01-14 11:00:00
325,0.5865,2024-01-14 12:00:00
326,0.5214,2024-01-14 13:00:00
327,0.4663,2024-01-14 14:00:00
328,0.4835,2024-01-14 15:00:00
329,0.4259,2024-01-14 16:00:00
330,0.3743,2024-01-14 17:00:00
331,0.4068,2024-01-14 18:00:00
332,0.5274,2024-01-14 19:00:00
333,0.3043,2024-01-14 20:00:00
334,0.3348,2024-01-14 21:00:00
335,0.3138,2024-01-14 22:00:00
336,0.3122,2024-01-14 23:00:00
337,0.5566,2024-01-15 00:00:00
338,0.5111,2024-01-15 01:00:00
339,0.4423,2024-01-15 02:00:00
340,0.3294,2024-01-15 03:00:00
341,0.4475,2024-01-15 04:00:00
342,0.442,2024-01-15 05:00:00
343,0.352,2024-01-15 06:00:00
344,0.4302,2024-01-15 07:00:00
345,0.4196,2024-01-15 08:00:00
346,0.4848,2024-01-15 09:00:00
347,0.4905,2024-01-15 10:00:00
348,0.3136,2024-01-15 11:00:00
349,0.4124,2024-01-15 12:00:00
350,0.4878,2024-01-15 13:00:00
351,0.4509,2024-01-15 14:00:00
352,0.5569,2024-01-15 15:00:00
353,0.4976,2024-01-15 16:00:00
354,0.3489,2024-01-15 17:00:00
355,0.3212,2024-01-15 18:00:00
356,0.4927,2024-01-15 19:00:00
357,0.308,2024-01-15 20:00:00
358,0.4757,2024-01-15 21:00:00
359,0.5821,2024-01-15 22:00:00
360,0.4726,2024-01-15 23:00:00
361,0.4165,2024-01-16 00:00:00
362,0.493,2024-01-16 01:00:00
363,0.4375,2024-01-16 02:00:00
364,0.4637,2024-01-16 03:00:00
365,0.5824,2024-01-16 04:00:00
366,0.4158,2024-01-16 05:00:00
367,0.5884,2024-01-16 06:00:00
368,0.5716,2024-01-16 07:00:00
369,0.3587,2024-01-16 08:00:00
370,0.3208,2024-01-16 09:00:00
371,0.3302,2024-01-16 10:00:00
372,0.3055,2024-01-16 11:00:00
373,0.3283,2024-01-16 12:00:00
374,0.5049,2024-01-16 13:00:00
375,0.3214,2024-01-16 14:00:00
376,0.3957,2024-01-16 15:00:00
377,0.5535,2024-01-16 16:00:00
378,0.307,2024-01-16 17:00:00
379,0.5443,2024-01-16 18:00:00
380,0.3846,2024-01-16 19:00:00
381,0.3354,2024-01-16 20:00:00
382,0.509,2024-01-16 21:00:00
383,0.4887,2024-01-16 22:00:00
384,0.5632,2024-01-16 23:00:00
385,0.5205,2024-01-17 00:00:00
386,0.541,2024-01-17 01:00:00
387,0.3846,2024-01-17 02:00:00
388,0.3532,2024-01-17 03:00:00
389,0.5252,2024-01-17 04:00:00
390,0.5421,2024-01-17 05:00:00
391,0.5972,2024-01-17 06:00:00
392,0.4238,2024-01-17 07:00:00
393,0.4116,2024-01-17 08:00:00
394,0.5329,2024-01-17 09:00:00
395,0.4022,2024-01-17 10:00:00
396,0.5792,2024-01-17 11:00:00
397,0.5575,2024-01-17 12:00:00
398,0.4287,2024-01-17 13:00:00
399,0.5253,2024-01-17 14:00:00
400,0.5264,2024-01-17 15:00:00
401,0.3309,2024-01-17 16:00:00
402,0.5708,2024-01-17 17:00:00
403,0.4516,2024-01-17 18:00:00
404,0.5479,2024-01-17 19:00:00
405,0.396,2024-01-17 20:00:00
406,0.5687,2024-01-17 21:00:00
407,0.4168,2024-01-17 22:00:00
408,0.3033,2024-01-17 23:00:00
409,0.5716,2024-01-18 00:00:00
410,0.3274,2024-01-18 01:00:00
411,0.3958,2024-01-18 02:00:00
412,0.585,2024-01-18 03:00:00
413,0.5852,2024-01-18 04:00:00
414,0.472,2024-01-18 05:00:00
415,0.4896,2024-01-18 06:00:00
416,0.4345,2024-01-18 07:00:00
417,0.388,2024-01-18 08:00:00
418,0.3986,2024-01-18 09:00:00
419,0.5018,2024-01-18 10:00:00
420,0.5257,2024-01-18 11:00:00
421,0.5375,2024-01-18 12:00:00
422,0.5369,2024-01-18 13:00:00
423,0.3274,2024-01-18 14:00:00
424,0.4483,2024-01-18 15:00:00
425,0.3173,2024-01-18 16:00:00
426,0.4649,2024-01-18 17:00:00
427,0.4325,2024-01-18 18:00:00
428,0.5663,2024-01-18 19:00:00
429,0.4053,2024-01-18 20:00:00
430,0.3351,2024-01-18 21:00:00
431,0.3429,2024-01-18 22:00:00
432,0.5285,2024-01-18 23:00:00
433,0.4855,2024-01-19 00:00:00
434,0.3303,2024-01-19 01:00:00
435,0.3252,2024-01-19 02:00:00
436,0.5103,2024-01-19 03:00:00
437,0.3218,2024-01-19 04:00:00
438,0.5466,2024-01-19 05:00:00
439,0.5119,2024-01-19 06:00:00
440,0.3244,2024-01-19 07:00:00
441,0.3255,2024-01-19 08:00:00
442,0.596,2024-01-19 09:00:00
443,0.4123,2024-01-19 10:00:00
444,0.4112,2024-01-19 11:00:00
445,0.5438,2024-01-19 12:00:00
446,0.5842,2024-01-19 13:00:00
447,0.5958,2024-01-19 14:00:00
448,0.526,2024-01-19 15:00:00
449,0.4129,2024-01-19 16:00:00
450,0.3251,2024-01-19 17:00:00
451,0.5331,2024-01-19 18:00:00
452,0.4675,2024-01-19 19:00:00
453,0.4273,2024-01-19 20:00:00
454,0.5719,2024-01-19 21:00:00
455,0.3334,2024-01-19 22:00:00
456,0.4478,2024-01-19 23:00:00
457,0.3034,2024-01-20 00:00:00
458,0.4406,2024-01-20 01:00:00
459,0.3169,2024-01-20 02:00:00
460,0.3356,2024-01-20 03:00:00
461,0.3353,2024-01-20 04:00:00
462,0.4948,2024-01-20 05:00:00
463,0.5238,2024-01-20 06:00:00
464,0.475,2024-01-20 07:00:00
465,0.5887,2024-01-20 08:00:00
466,0.4125,2024-01-20 09:00:00
467,0.3857,2024-01-20 10:00:00
468,0.5606,2024-01-20 11:00:00
469,0.3671,2024-01-20 12:00:00
470,0.589,2024-01-20 13:00:00
471,0.3036,2024-01-20 14:00:00
472,0.591,2024-01-20 15:00:00
473,0.3129,2024-01-20 16:00:00
474,0.5673,2024-01-20 17:00:00
475,0.4583,2024-01-20 18:00:00
476,0.5979,2024-01-20 19:00:00
477,0.3221,2024-01-20 20:00:00
478,0.4662,2024-01-20 21:00:00
479,0.5908,2024-01-20 22:00:00
480,0.4569,2024-01-20 23:00:00
481,0.4888,2024-01-21 00:00:00
482,0.5087,2024-01-21 01:00:00
483,0.4364,2024-01-21 02:00:00
484,0.4883,2024-01-21 03:00:00
485,0.4753,2024-01-21 04:00:00
486,0.5703,2024-01-21 05:00:00
487,0.3136,2024-01-21 06:00:00
488,0.3843,2024-01-21 07:00:00
489,0.5851,2024-01-21 08:00:00
490,0.5671,2024-01-21 09:00:00
491,0.4367,2024-01-21 10:00:00
492,0.486,2024-01-21 11:00:00
493,0.3832,2024-01-21 12:00:00
494,0.3564,2024-01-21 13:00:00
495,0.4391,2024-01-21 14:00:00
496,0.406,2024-01-21 15:00:00
497,0.4751,2024-01-21 16:00:00
498,0.3233,2024-01-21 17:00:00
499,0.5923,2024-01-21 18:00:00
500,0.5959,2024-01-21 19:00:00
